userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts,source_file,sentiment_label,fake_news_label
302152200,epochtimeschina,"China content of The Epoch Times. Read more: https://t.co/r8OyotIqeY

Sign up for our China newsletter: https://t.co/hciTH5eiuh","new york, ny",96.0,56156.0,34289,,1592235924330409986,2022-11-14 19:20:01,4.0,"“this is the first time this charge has been laid in canada,” rcmp said.

yuesheng wang, an employee of hydro-québec, was arrested in #canada for allegedly spying for #china, the rcmp says.","[{'text': 'Canada', 'indices': [134, 141]}, {'text': 'China', 'indices': [167, 173]}]",en,,4.0,False,0,0,0,0,,False,0,0,,2022-11-14 20:25:40.310464,1114_UkraineCombinedTweetsDeduped.parquet,Negative,1
25003580,pissedconsumer,"Platform to post and read #complaints, #scamalerts, consumer #reviews. Share your experience with others and get your issues resolved.","las vegas, nv",2523.0,6451.0,114969,,1575852986630230017,2022-09-30 14:20:04,1.0,"#russia prepares to annex four regions this week after staged referendums. people voted under threats and sometimes gunpoint of soldiers who escorted the election officials, which makes referendums illegitimate.","[{'text': 'Russia', 'indices': [0, 7]}]",en,,0.0,False,0,0,1575852854631272448,25003580,pissedconsumer,False,0,0,,2022-09-30 14:31:50.953052,0930_UkraineCombinedTweetsDeduped.parquet,Negative,0
1509141265677524996,telehuntwatch,Automated DeepL Translation 90 Russian Telegram channels Monitoring Russian disinformation coming from Telegram. video only https://t.co/WXjgE6UL62,ukraine will win,675.0,253.0,204503,,1597018283269496832,2022-11-28 00:03:24,0.0,"new post archived from 🇷🇺 #telegram :
translation &amp; original at the link, text removed to avoid amplifying russian propaganda
archive : 
media : 
#russia","[{'text': 'Telegram', 'indices': [26, 35]}, {'text': 'Russia', 'indices': [173, 180]}]",en,,0.0,False,0,0,0,0,,False,0,0,,2022-11-28 07:58:02.824818,1128_UkraineCombinedTweetsDeduped.parquet,Negative,1
842158982,muzairfareedi,The Unpredictable sometimes Unbearable... So much Mystification....but Constantly Fluky.. ALL HUM DULILAH & Die Hard Fan & Supporter of Imran Khan,london,577.0,136.0,1903,,1598376718678757377,2022-12-01 18:01:20,0.0,congratulations @officialdgispr ahmed sharif on you new position 1st step unblock all those accounts which was blocked after 9 april 2022 from #twitter &amp; #facebook.,"[{'text': 'twitter', 'indices': [143, 151]}, {'text': 'Facebook', 'indices': [158, 167]}]",en,,0.0,False,0,0,0,0,,True,1598374833015906304,842158982,MUzairFareedi,2022-12-01 19:26:33.065875,1201_UkraineCombinedTweetsDeduped.parquet,Positive,0
1548886532307570694,fireapapapig9,,unknown,192.0,14.0,689,,1581740311780659201,2022-10-16 20:14:12,0.0,"a senior #nato official confronted a chinese diplomat over #china’s failure to condemn the russian invasion of ukraine, injecting tension over the war into an international conference the #arcticcircleassembly.

admiral rob bauer…","[{'text': 'NATO', 'indices': [9, 14]}, {'text': 'China', 'indices': [59, 65]}, {'text': 'ArcticCircleAssembly', 'indices': [188, 209]}]",en,,0.0,False,0,0,0,0,,False,0,0,,2022-10-17 01:36:55.911209,1016_UkraineCombinedTweetsDeduped.parquet,Negative,0
1497630205623472135,realzaidzayn,"♦️Documenting #Russia's Invasion of #Ukraine
👉Follow for #BREAKING #NEWS around the #World and to get live updates on #World🌍affairs",unknown,281.0,2468.0,8955,,1592797423176646657,2022-11-16 08:31:13,0.0,"🇵🇱 : #poland govt announces that a missile fell in a village, near the border with #ukraine, and killed two civilians.

rumors that a russian cruise missile has hit a village in poland","[{'text': 'Poland', 'indices': [5, 12]}, {'text': 'Ukraine', 'indices': [83, 91]}]",en,,1.0,False,0,0,1592797162752323584,1497630205623472128,realzaidzayn,False,0,0,,2022-11-16 10:16:01.437813,1116_UkraineCombinedTweetsDeduped.parquet,Negative,1
1003960531,katribertram,"Work on #globalhealth #healthsystems. Ex German Health Ministry, World Bank, Save the Children. Focus #partnerships #advocacy #governance. 🇫🇮 mom x 4.","berlin, germany",195.0,7637.0,25210,,1626565323729117186,2023-02-17 12:52:47,1.0,"#msc2023 official opening begins with clear solidarity with #ukraine, an emotional recognition by the chairman to victims of violence and catastrophe, and the red-thread question throughout: will our rule-based world order survive these times?","[{'text': 'MSC2023', 'indices': [0, 8]}, {'text': 'Ukraine', 'indices': [60, 68]}]",en,,0.0,False,0,0,0,0,,False,0,0,,2023-02-17 14:13:52.508001,20230217_UkraineCombinedTweetsDeduped.parquet,Negative,0
1509141265677524996,telehuntwatch,Automated DeepL Translation 90 Russian Telegram channels Monitoring Russian disinformation coming from Telegram. video only https://t.co/WXjgE6UL62,ukraine will win,675.0,252.0,203674,,1596914659986128896,2022-11-27 17:11:38,0.0,"new post archived from 🇷🇺 #telegram :
translation &amp; original at the link, text removed to avoid amplifying russian propaganda
archive : 
media : 
#russia","[{'text': 'Telegram', 'indices': [26, 35]}, {'text': 'Russia', 'indices': [196, 203]}]",en,,0.0,False,0,0,0,0,,False,0,0,,2022-11-27 22:57:20.383316,1127_UkraineCombinedTweetsDeduped.parquet,Negative,1
1553447424316047360,sopnoashikur,,unknown,103.0,4.0,53,2022-07-30 18:28:39,1566463388594880513,2022-09-04 16:29:09,0.0,"@klaytn_official @marblexofficial nice project
#indvspak2022 
#kherson 
#cryptocurrency","[{'text': 'INDvsPAK2022', 'indices': [47, 60]}, {'text': 'Kherson', 'indices': [62, 70]}, {'text': 'cryptocurrency', 'indices': [72, 87]}]",en,,0.0,False,0,0,1564897903776337920,1016987310221455360,klaytn_official,False,0,0,,2022-09-04 20:24:17.237665,0904_UkraineCombinedTweetsDeduped.parquet,Positive,0
1445446646649659397,gsp_verlag,,unknown,0.0,870.0,51,,1573278662442491905,2022-09-23 11:50:37,5.0,"der #gegenstandpunkt 3-22 ist ab sofort im buchhandel erhältlich - viele artikel sind auch kostenfrei auf der website verfügbar.

#ukrainekrieg #kriegspropaganda #wagenknecht","[{'text': 'gegenstandpunkt', 'indices': [4, 20]}, {'text': 'ukrainekrieg', 'indices': [153, 166]}, {'text': 'kriegspropaganda', 'indices': [167, 184]}, {'text': 'Wagenknecht', 'indices': [185, 197]}]",de,,17.0,False,0,0,0,0,,False,0,0,,2022-09-23 13:56:01.986403,0923_UkraineCombinedTweetsDeduped.parquet,Neutral,1
1346988252662697988,pciesa,"Twitter surfer with an interest in and support of Ukraines independence. Be warned I spam a lot. 
https://t.co/xChcds9QeJ
https://t.co/qpNpkxA0GV",unknown,210.0,16.0,3459,,1594501496871170048,2022-11-21 01:22:35,0.0,"to imagine one ukraine border guard has the whole of the belarus elite shaking in their sabre rattling.
boggles the mind what their propaganda comes up with next if triggered by this?

#ukraine #ukrainewar #ukrainianarmy #ukrainewillwin #russia #russian #nafo #belarusian #belarus","[{'text': 'Ukraine', 'indices': [185, 193]}, {'text': 'UkraineWar', 'indices': [194, 205]}, {'text': 'UkrainianArmy', 'indices': [206, 220]}, {'text': 'UkraineWillWin', 'indices': [221, 236]}, {'text': 'Russia', 'indices': [237, 244]}, {'text': 'Russian', 'indices': [245, 253]}, {'text': 'NAFO', 'indices': [254, 259]}, {'text': 'Belarusian', 'indices': [260, 271]}, {'text': 'Belarus', 'indices': [272, 280]}]",en,,3.0,False,0,0,0,0,,True,1594295127291592704,1480304164337033216,NOELreports,2022-11-21 16:43:34.792853,1121_UkraineCombinedTweetsDeduped.parquet,Negative,1
1447315294490439683,praisethesteph,#NAFO | News & Insight |        #Ukraine | 🇨🇿🇪🇺🇺🇦 | Donate to https://t.co/XtsnacMjjZ,"praha, česká republika",289.0,3072.0,16815,,1573712515657236482,2022-09-24 16:34:36,9.0,"#ukraine/#russia 🇺🇦🇷🇺:

alleged site of the downing of the 🇷🇺#russian su-34 fighter","[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'Russia', 'indices': [9, 16]}, {'text': 'Russian', 'indices': [61, 69]}]",en,,34.0,False,0,0,0,0,,False,0,0,,2022-09-24 19:26:25.902224,0924_UkraineCombinedTweetsDeduped.parquet,Positive,1
1586936213449179137,jesusislord4rl,"Christian humanist; general strike to stop nuclear war & secure living wages, healthcare, food & water, education, housing, & social security for our children",unknown,21.0,6.0,374,,1621513603278045184,2023-02-03 14:19:03,0.0,"@nytimes, tell me you're u.s. propaganda without saying you're u.s. propaganda. 
#ukrainewar #ukraine #ukrainerussiawar #ukrainerussianwar #jesus #jesuschrist #militaryindustrialcomplex #media #propaganda","[{'text': 'UkraineWar', 'indices': [81, 92]}, {'text': 'Ukraine', 'indices': [93, 101]}, {'text': 'UkraineRussiaWar', 'indices': [102, 119]}, {'text': 'UkraineRussianWar', 'indices': [120, 138]}, {'text': 'Jesus', 'indices': [139, 145]}, {'text': 'JesusChrist', 'indices': [146, 158]}, {'text': 'MilitaryIndustrialComplex', 'indices': [159, 185]}, {'text': 'Media', 'indices': [186, 192]}, {'text': 'propaganda', 'indices': [193, 204]}]",en,,0.0,False,0,0,0,807095,nytimes,False,0,0,,2023-02-03 18:47:32.120449,20230203_UkraineCombinedTweetsDeduped.parquet,Negative,1
